id,name,username,created_at,protected,withheld.country_codes,location,url,description,verified,followers_count,following_count,tweet_count,listed_count
92950150,Ankit Prasad (अंकित प्रसाद),TheBobbleGuy,2009-11-27 11:20:45+00:00,FALSE,,"Gurgaon, India",http://www.bobble.ai,Founder @BobbleKeyboard || Fortune 40 Under 40 || Forbes Asia 30U30 || BusinessWorld 40U40 || Impact Digital Power 100,TRUE,1214,170,12063,27
124921968,Sydney Cariel,SydCariel,2010-03-21 02:08:35+00:00,FALSE,,Michigan,https://www.kcbd.com/authors/sydney-cariel/,Sports on @wxyzdetroit | EP/Host for @StateChampsW | Sideline reporter @OaklandWBBall on ESPN+ | Proud @Cronkite_ASU alum | Sports fanatic & Bay Area native,TRUE,2204,986,3728,12
720587134873288704,JetBrains Toolbox,JBToolbox,2016-04-14 12:18:55+00:00,FALSE,,JetBrains s.r.o.,https://www.jetbrains.com/toolbox-app/,An app with over 15 professional IDEs for different languages and technologies all in one place. Made by @JetBrains.,TRUE,6876,25,711,70
2459232864,山本聖悟 김성오,seigomma,2014-04-23 05:26:22+00:00,FALSE,,BUSAN⇄TOKYO,https://youtube.com/channel/UCDYo7KX4Q5bR6YiWD11QJSQ,Team Cloud 📩seigoyamamoto1011@gmail.com,TRUE,2557,500,10695,25
1564608574659170304,About Whoop Cough,AboutWhoopCough,2022-08-30 13:39:00+00:00,FALSE,,"Philadelphia, USA",http://AboutWhoopingCough.com,Let's talk #WhoopingCough. It's not just for kids. Intended for US Audiences only. Code of conduct: https://t.co/KaLE96LefL,TRUE,5,0,0,0
1408086222187139089,CataTests,TestingCata,2021-06-24 15:35:07+00:00,TRUE,,,,If I were a fruit I would be a Pineapple,TRUE,4,2,3,0
14445094,El Ciudadano,El_Ciudadano,2008-04-19 17:43:02+00:00,FALSE,,Santiago de Chile,https://www.elciudadano.com,https://t.co/hF7jqSE6Tk medio de comunicación de los movimientos sociales #elciudadano WhatsApp denuncias📲+56 9 8842 1164👈,TRUE,569124,71798,230713,1764
1255813500061929475,ゴールドジムジャパン（公式）,goldsgymjapan,2020-04-30 10:58:55+00:00,FALSE,,,https://www.goldsgym.jp,ゴールドジムジャパンの公式Twitterです。ゴールドジムは、世界30カ国・700ヶ所以上・300万人のメンバーを誇る世界最大級ネットワークを誇り、初心者からアスリートまで、全ての人々が結果を出せるようあらゆることについて考え抜かれたフィットネスクラブです。,TRUE,17187,5,3236,59
50271609,Orbis Ireland,ORBISIreland,2009-06-24 10:36:30+00:00,FALSE,,"Dublin, Ireland",http://www.orbis.org,Treating and training to eliminate avoidable blindness. Charity Number CHY 16838,TRUE,732,980,1402,21
1493276362311876616,barbarasmb,barbarasmb98,2022-02-14 17:30:10+00:00,FALSE,,,https://jornaleconomico.pt/noticias/author/barbara-barbosa,She/Her. Journalist @ojeconomicoRTs ≠ Endorsements and opinions are my own.,TRUE,16,152,12,0
81130921,Fabiola Zerpa,zerpius,2009-10-09 15:17:12+00:00,FALSE,,"Caracas, Venezuela",https://www.bloomberg.com/authors/ASzUVlz4JXQ/fabiola-zerpa,Venezuelan journalist working at Bloomberg News in Caracas / Periodista venezolana. Opinions my own/RTs not endorsement,TRUE,12610,4192,18058,250
